Levee System ID,Annual Probability of Failing Prior to Overtopping,Overtopping Return Period
4605000001.0,1.18089588852882e-05,1000.0
4605000006.0,1.26458264908805e-05,200.0
510005000007.0,0.00131089855737958,50.0
510005000009.0,0.00131089855737958,50.0
1205000142.0,0.00131089855737958,50.0
1205000210.0,0.00131089855737958,50.0
1405000873.0,0.00131089855737958,50.0
1605226012.0,0.00131089855737958,50.0
1605226013.0,0.00131089855737958,50.0
1605252003.0,0.000932799833250378,100.0
1605255002.0,0.00131089855737958,50.0
1605255003.0,0.00131089855737958,50.0
1605255004.0,0.00131089855737958,50.0
1605255006.0,0.00131089855737958,50.0
1605255036.0,0.00131089855737958,50.0
1605255008.0,0.00131089855737958,50.0
1605255010.0,0.00131089855737958,50.0
1605255015.0,0.00131089855737958,50.0
1605255016.0,0.00131089855737958,50.0
1605255017.0,0.00131089855737958,50.0
1605255020.0,0.00131089855737958,50.0
1605255024.0,0.00131089855737958,50.0
1605255025.0,0.00131089855737958,50.0
1605255026.0,0.00131089855737958,50.0
1605255027.0,0.00131089855737958,50.0
1605255029.0,0.00131089855737958,50.0
1605255035.0,0.00131089855737958,50.0
1605500001.0,0.000932799833250378,100.0
1605647001.0,0.00131089855737958,50.0
1605679002.0,0.000932799833250378,100.0
1605882398.0,0.00131089855737958,50.0
1605885390.0,0.00131089855737958,50.0
1605995116.0,0.00131089855737958,50.0
1605995132.0,0.00131089855737958,50.0
1605995143.0,0.000932799833250378,100.0
2305540001.0,0.00131089855737958,50.0
3405000023.0,0.00131089855737958,50.0
3405000038.0,0.00131089855737958,50.0
3405000045.0,0.00131089855737958,50.0
3405000056.0,0.00131089855737958,50.0
3405000123.0,0.00131089855737958,50.0
3405000125.0,0.00131089855737958,50.0
4305000033.0,0.000932799833250378,100.0
4305000042.0,0.00131089855737958,50.0
4305000058.0,0.00131089855737958,50.0
4405000501.0,0.000932799833250378,100.0
4405000521.0,0.000932799833250378,100.0
4405000522.0,0.000932799833250378,100.0
4405000525.0,0.000932799833250378,100.0
4405000559.0,0.000932799833250378,100.0
4505000009.0,0.000932799833250378,100.0
4505000027.0,0.00131089855737958,50.0
4805000011.0,0.000932799833250378,100.0
4805000014.0,0.00131089855737958,50.0
300005009100.0,0.00131089855737958,50.0
300005009125.0,0.00131089855737958,50.0
300005009128.0,0.00131089855737958,50.0
300005009130.0,0.00131089855737958,50.0
300005009160.0,0.00131089855737958,50.0
300005009170.0,0.00131089855737958,50.0
300005009175.0,0.00131089855737958,50.0
300005009180.0,0.00131089855737958,50.0
300005009185.0,0.00131089855737958,50.0
300005009190.0,0.00131089855737958,50.0
300005009195.0,0.00131089855737958,50.0
300005009202.0,0.00131089855737958,50.0
300005009203.0,0.00131089855737958,50.0
300005009205.0,0.00131089855737958,50.0
300005009207.0,0.00131089855737958,50.0
300005009209.0,0.00131089855737958,50.0
300005009210.0,0.00131089855737958,50.0
300005009212.0,0.00131089855737958,50.0
300005009216.0,0.00131089855737958,50.0
300005009220.0,0.00131089855737958,50.0
300005009223.0,0.00131089855737958,50.0
300005009225.0,0.00131089855737958,50.0
300005009226.0,0.00131089855737958,50.0
300005009230.0,0.00131089855737958,50.0
300005009235.0,0.00131089855737958,50.0
300005009240.0,0.00131089855737958,50.0
300005009245.0,0.00131089855737958,50.0
300005009250.0,0.00131089855737958,50.0
300005009252.0,0.00131089855737958,50.0
300005009255.0,0.00131089855737958,50.0
300005009260.0,0.00131089855737958,50.0
300005009265.0,0.00131089855737958,50.0
300005009270.0,0.00131089855737958,50.0
300005009285.0,0.00131089855737958,50.0
300005009290.0,0.00131089855737958,50.0
300005009295.0,0.00131089855737958,50.0
