HUC12,Levee System ID,Inland Flood,Storm Surge
20501030201.0,1205000032.0,1.834,0.0
20501030201.0,2305060002.0,1.449,0.0
20501030204.0,2305130003.0,0.943,0.0
20501030205.0,2305130002.0,1.377,0.0
20501030205.0,2305590001.0,0.854,0.0
20501030205.0,2305130001.0,0.929,0.0
20501030205.0,1205000004.0,0.945,0.0
20501030205.0,2305130003.0,0.822,0.0
20501030409.0,1205000045.0,0.837,0.0
20501030409.0,1205000044.0,0.729,0.0
20501030605.0,2305570001.0,0.765,0.0
20501030703.0,2305220001.0,0.902,0.0
20501030707.0,2305370001.0,0.845,0.0
20501030707.0,2305570001.0,0.747,0.0
20501030707.0,500005000011.0,0.404,0.0
20501040104.0,2305170001.0,0.906,0.0
20501040104.0,2305170006.0,0.808,0.0
20501040104.0,1205000092.0,0.864,0.0
20501040204.0,2305080001.0,1.834,0.0
20501040205.0,2305080002.0,1.004,0.0
20501040205.0,2305080001.0,1.834,0.0
20501040306.0,2305010002.0,0.771,0.0
20501040306.0,2305010001.0,0.884,0.0
20501040405.0,2305170006.0,0.901,0.0
20501040405.0,2305170005.0,0.883,0.0
20501040406.0,2305170002.0,1.049,0.0
20501040406.0,2305170003.0,0.974,0.0
20501040406.0,2305170006.0,0.908,0.0
20501040406.0,2305170004.0,0.923,0.0
20501040406.0,2305170005.0,1.105,0.0
20501040406.0,2305170001.0,0.921,0.0
20501040406.0,2305080001.0,1.834,0.0
20501040407.0,2305080002.0,1.054,0.0
20501040408.0,2305080002.0,1.028,0.0
20501040411.0,2305010001.0,0.93,0.0
20501040608.0,2305580001.0,0.915,0.0
20501040808.0,2305110001.0,0.784,0.0
20501040809.0,2305500001.0,0.728,0.0
20501040906.0,1305000617.0,1.074,0.0
20501040907.0,2305580001.0,0.902,0.0
20501040907.0,1305000617.0,1.339,0.0
20501040907.0,500005000020.0,1.039,0.0
20501040908.0,2305500001.0,1.043,0.0
20501040910.0,2305440001.0,1.505,0.0
20501050106.0,2305030001.0,0.575,0.0
20501050206.0,2305040001.0,0.381,0.0
20501050206.0,1205000104.0,0.387,0.0
20501050206.0,1205000103.0,0.387,0.0
20501050308.0,2305090002.0,0.343,0.0
20501050308.0,2305440001.0,1.484,0.0
20501050401.0,2305090001.0,0.548,0.0
20501050402.0,2305090002.0,0.34,0.0
20501050402.0,2305090001.0,0.512,0.0
20501050402.0,2305090003.0,0.436,0.0
20501050402.0,2305440001.0,1.484,0.0
20501050404.0,2305090003.0,0.898,0.0
20501050405.0,2305120001.0,0.317,0.0
20501050405.0,2305120002.0,0.343,0.0
20501050503.0,2305120001.0,0.427,0.0
20501050503.0,1205000211.0,0.395,0.0
20501050507.0,2305120002.0,0.312,0.0
20501050508.0,2305120001.0,0.355,0.0
20501050508.0,2305120002.0,0.552,0.0
20501050608.0,2305370001.0,0.402,0.0
20501050608.0,500005000011.0,0.384,0.0
20501060304.0,1305000565.0,1.006,0.0
20501060304.0,1305000567.0,1.026,0.0
20501070103.0,500005000009.0,1.834,0.0
20501070104.0,500005000009.0,1.834,0.0
20501070104.0,500005000024.0,1.834,0.0
20501070104.0,2305520003.0,1.834,0.0
20501070104.0,2305520001.0,1.834,0.0
20501070105.0,1305000508.0,1.834,0.0
20501070106.0,2305230001.0,1.562,0.0
20501070106.0,500005000018.0,1.834,0.0
20501070106.0,500005000017.0,1.834,0.0
20501070107.0,2305270002.0,1.834,0.0
20501070107.0,2305270001.0,1.834,0.0
20501070108.0,2305530004.0,1.834,0.0
20501070108.0,2305530003.0,1.834,0.0
20501070108.0,2305530005.0,1.834,0.0
20501070108.0,2305530001.0,1.834,0.0
20501070108.0,2305530002.0,1.834,0.0
20501070108.0,2305530006.0,1.834,0.0
20501070109.0,2305530001.0,1.834,0.0
20501070109.0,2305450001.0,1.834,0.0
20501070109.0,2305270001.0,1.834,0.0
20501070109.0,2305270002.0,1.834,0.0
20501070109.0,2305260001.0,1.604,0.0
20501070109.0,2305360001.0,1.834,0.0
20501070110.0,2305410001.0,1.27,0.0
20501070110.0,2305530001.0,1.834,0.0
20501070110.0,2305530002.0,1.514,0.0
20501070201.0,1305200365.0,0.491,0.0
20501070201.0,1305100365.0,0.503,0.0
20501070201.0,2305330001.0,0.437,0.0
20501070202.0,2305600001.0,1.824,0.0
20501070202.0,2305600002.0,1.834,0.0
20501070202.0,500005000002.0,1.834,0.0
20501070203.0,2305330001.0,0.619,0.0
20501070204.0,2305330003.0,0.812,0.0
20501070205.0,2305330001.0,1.438,0.0
20501070205.0,2305330003.0,1.834,0.0
20501070205.0,2305330002.0,0.813,0.0
20501070707.0,1305000010.0,1.176,0.0
20501070707.0,500005000005.0,1.192,0.0
20501070803.0,1305000115.0,0.998,0.0
20501071002.0,500005000005.0,1.107,0.0
20501071002.0,500005000003.0,1.107,0.0
20501071003.0,2305400001.0,0.981,0.0
20501071003.0,2305400003.0,0.926,0.0
20501071004.0,2305400001.0,0.834,0.0
20501071005.0,2305400001.0,0.719,0.0
20501071005.0,2305400004.0,0.815,0.0
20501071006.0,2305280001.0,0.736,0.0
20502010102.0,2305550002.0,0.905,0.0
20502010102.0,2305550001.0,0.859,0.0
20502010103.0,500005000010.0,0.913,0.0
20502010305.0,2305490001.0,1.731,0.0
20502010307.0,2305490002.0,1.834,0.0
20502010307.0,2305490001.0,1.731,0.0
20502010401.0,1305000604.0,1.184,0.0
20502010401.0,2305380002.0,1.179,0.0
20502010401.0,2305380003.0,1.342,0.0
20502010401.0,2305380001.0,1.418,0.0
20502010401.0,2305600004.0,1.096,0.0
20502010401.0,500005000019.0,1.167,0.0
20502010403.0,2305600004.0,1.036,0.0
20502010403.0,2305600003.0,1.053,0.0
20502010506.0,2305560002.0,0.972,0.0
20502010506.0,2305560001.0,0.959,0.0
20502020102.0,500005000013.0,0.378,0.0
20502020207.0,500005000006.0,0.308,0.0
20502030407.0,1305000629.0,0.31,0.0
20502030412.0,2305200001.0,0.308,0.0
20502040106.0,1305000599.0,0.328,0.0
