HUC12,Inland Flood,Storm Surge
10100040202.0,0.782,0.0
10100040203.0,0.908,0.0
10100040301.0,0.79,0.0
10100040302.0,0.79,0.0
10100040303.0,0.79,0.0
10100040304.0,0.79,0.0
10100040305.0,0.783,0.0
10100040306.0,0.79,0.0
10100040401.0,0.782,0.0
10100040402.0,0.782,0.0
10100040501.0,0.948,0.0
10100040502.0,0.948,0.0
10100040503.0,0.873,0.0
10100040504.0,0.873,0.0
10100040505.0,0.819,0.0
10100040506.0,0.873,0.0
10100040507.0,0.848,0.0
10100040601.0,0.912,0.0
10100040602.0,0.912,0.0
10100040603.0,0.912,0.0
10100040604.0,1.185,0.0
10100040605.0,1.021,0.0
10100040606.0,1.154,0.0
10100040701.0,0.992,0.0
10100040702.0,0.989,0.0
10100040703.0,0.989,0.0
10100040801.0,0.887,0.0
10100040802.0,0.989,0.0
10100040803.0,0.887,0.0
10100040804.0,0.878,0.0
10100040805.0,0.894,0.0
10100040806.0,0.887,0.0
10100040901.0,0.743,0.0
10100040902.0,0.744,0.0
10100040903.0,0.744,0.0
10100040904.0,0.744,0.0
10100041001.0,0.621,0.0
10100041002.0,0.686,0.0
10100041003.0,0.693,0.0
10100041004.0,0.684,0.0
10100041005.0,0.713,0.0
10100041006.0,0.989,0.0
10100041007.0,0.704,0.0
10100041101.0,0.555,0.0
10100041102.0,0.555,0.0
10100041103.0,0.545,0.0
10100041104.0,0.555,0.0
10100041105.0,0.626,0.0
10100041106.0,0.571,0.0
10100041107.0,0.512,0.0
10100041201.0,0.839,0.0
10100041202.0,1.133,0.0
10100041203.0,0.912,0.0
10100041301.0,1.193,0.0
10100041302.0,1.108,0.0
10100041303.0,1.195,0.0
10100041304.0,1.262,0.0
10100041305.0,1.069,0.0
10100041306.0,1.079,0.0
10100041307.0,1.076,0.0
10100041401.0,0.715,0.0
10100041402.0,0.7,0.0
10100041403.0,0.733,0.0
10100041404.0,0.626,0.0
10100041405.0,0.667,0.0
10100041406.0,0.624,0.0
10100041407.0,0.67,0.0
10100041408.0,0.759,0.0
10100050101.0,1.35,0.0
10100050102.0,1.131,0.0
10100050103.0,1.202,0.0
10100050201.0,0.984,0.0
10100050202.0,0.984,0.0
10100050203.0,0.965,0.0
10100050204.0,0.972,0.0
10100050205.0,0.984,0.0
10100050206.0,1.076,0.0
10100050301.0,1.192,0.0
10100050302.0,1.057,0.0
10100050303.0,1.042,0.0
10100050304.0,1.225,0.0
10100050305.0,1.095,0.0
10100050306.0,1.108,0.0
10100050307.0,1.103,0.0
10100050308.0,1.036,0.0
10100050309.0,1.038,0.0
10100060101.0,0.992,0.0
10100060102.0,0.992,0.0
10100060103.0,0.992,0.0
10100060104.0,0.992,0.0
10100060105.0,0.992,0.0
10100060106.0,0.992,0.0
10100060107.0,0.992,0.0
10100060108.0,0.992,0.0
10100060109.0,0.992,0.0
10100060110.0,0.992,0.0
10100060111.0,1.258,0.0
10100060201.0,0.992,0.0
10100060202.0,0.992,0.0
10100060203.0,0.992,0.0
10100060204.0,0.992,0.0
10100060205.0,0.992,0.0
10100060206.0,1.258,0.0
10100060207.0,1.258,0.0
10100060208.0,1.258,0.0
10100060209.0,1.258,0.0
10100060301.0,0.992,0.0
10100060302.0,0.992,0.0
10100060303.0,0.992,0.0
10100060304.0,0.992,0.0
10100060305.0,0.992,0.0
10100060306.0,0.992,0.0
10100060307.0,1.258,0.0
10100060308.0,1.258,0.0
10100060309.0,1.258,0.0
10100060401.0,1.258,0.0
10100060402.0,1.258,0.0
10100060403.0,1.258,0.0
10100060404.0,1.258,0.0
10100060405.0,1.258,0.0
10100060406.0,1.258,0.0
10100060407.0,1.258,0.0
10100060408.0,1.258,0.0
10100060409.0,1.258,0.0
10100070101.0,1.258,0.0
10100070102.0,0.992,0.0
10100070103.0,1.258,0.0
10100070201.0,0.992,0.0
10100070202.0,0.992,0.0
10100070203.0,1.292,0.0
10100070204.0,1.292,0.0
10100070205.0,1.292,0.0
10100070301.0,1.309,0.0
10100070302.0,1.309,0.0
10100070303.0,1.309,0.0
10100070304.0,1.309,0.0
10100070305.0,1.309,0.0
10100070401.0,1.302,0.0
10100070402.0,1.302,0.0
10100070403.0,1.302,0.0
10100070404.0,1.302,0.0
10100070405.0,1.302,0.0
10100070406.0,1.302,0.0
10100070407.0,1.302,0.0
10100070408.0,1.302,0.0
10100070409.0,1.302,0.0
10100070410.0,1.302,0.0
10100070501.0,1.236,0.0
10100070502.0,1.236,0.0
10100070503.0,1.236,0.0
10100070504.0,1.266,0.0
10100070505.0,1.236,0.0
10100070506.0,1.266,0.0
10100070601.0,1.296,0.0
10100070602.0,1.297,0.0
10100070603.0,1.297,0.0
10100070701.0,0.992,0.0
10100070702.0,1.313,0.0
10100070703.0,1.313,0.0
10100070801.0,1.292,0.0
10100070802.0,1.291,0.0
10100070803.0,1.291,0.0
10100070804.0,1.291,0.0
10100070805.0,1.313,0.0
10100070901.0,1.252,0.0
10100070902.0,1.252,0.0
10100070903.0,1.252,0.0
10100070904.0,1.252,0.0
10100070905.0,1.252,0.0
10100070906.0,1.252,0.0
10100070907.0,1.252,0.0
10100070908.0,1.252,0.0
